hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 0.12701, 831.895, -180, 0, 0
0, 0.12701, 831.895, -180, 0, 0
0, 0.12801, 831.898, 180, 0, 0
0, 0.12801, 831.898, 180, 0, 0
0, 0.12901, 831.896, -180, 0, 0
0, 0.12901, 831.896, -180, 0, 0
0, 0.13001, 831.895, 180, 0, 0
0, 0.13001, 831.895, 180, 0, 0
0, 0.13000, 831.895, -180, 0, 0
0, 0.13101, 819.29, 179.999, 0, 0
0, 0.13101, 819.29, 179.999, 0, 0
0, 0.13201, 819.248, -180, 0, 0
0, 0.13201, 819.248, -180, 0, 0
0, 0.13301, 819.263, 180, 0, 0
0, 0.13301, 819.263, 180, 0, 0
0, 0.13401, 819.256, 180, 0, 0
0, 0.13401, 819.256, 180, 0, 0
0, 0.13501, 819.258, -180, 0, 0
0, 0.13501, 819.258, -180, 0, 0
0, 0.13601, 819.26, 180, 0, 0
0, 0.13601, 819.26, 180, 0, 0
0, 0.13701, 819.258, -180, 0, 0
0, 0.13701, 819.258, -180, 0, 0
0, 0.13801, 819.257, 180, 0, 0
0, 0.13801, 819.257, 180, 0, 0
0, 0.13901, 819.257, -180, 0, 0
0, 0.13901, 819.257, -180, 0, 0
0, 0.14001, 819.26, 180, 0, 0
0, 0.14001, 819.26, 180, 0, 0
0, 0.14101, 819.258, -180, 0, 0
0, 0.14101, 819.258, -180, 0, 0
0, 0.14201, 819.257, 180, 0, 0
0, 0.14201, 819.257, 180, 0, 0
0, 0.14301, 819.257, -180, 0, 0
0, 0.14301, 819.257, -180, 0, 0
0, 0.14401, 819.26, 180, 0, 0
0, 0.14401, 819.26, 180, 0, 0
0, 0.14501, 819.258, -180, 0, 0
0, 0.14501, 819.258, -180, 0, 0
0, 0.14601, 819.257, 180, 0, 0
0, 0.14601, 819.257, 180, 0, 0
0, 0.14701, 819.257, -180, 0, 0
0, 0.14701, 819.257, -180, 0, 0
0, 0.14801, 819.26, 180, 0, 0
0, 0.14801, 819.26, 180, 0, 0
0, 0.14901, 819.258, -180, 0, 0
0, 0.14901, 819.258, -180, 0, 0
0, 0.15001, 819.257, 180, 0, 0
0, 0.15001, 819.257, 180, 0, 0
0, 0.15101, 819.257, -180, 0, 0
0, 0.15101, 819.257, -180, 0, 0
0, 0.15201, 819.261, 179.999, 0, 0
0, 0.15201, 819.261, 179.999, 0, 0
0, 0.15301, 819.258, -180, 0, 0
0, 0.15301, 819.258, -180, 0, 0
0, 0.15401, 819.257, 180, 0, 0
0, 0.15401, 819.257, 180, 0, 0
0, 0.15501, 819.257, -180, 0, 0
0, 0.15501, 819.257, -180, 0, 0
0, 0.15601, 819.261, 179.999, 0, 0
0, 0.15601, 819.261, 179.999, 0, 0
0, 0.15701, 819.258, -180, 0, 0
0, 0.15701, 819.258, -180, 0, 0
0, 0.15801, 819.257, 180, 0, 0
0, 0.15801, 819.257, 180, 0, 0
0, 0.15901, 819.257, -180, 0, 0
0, 0.15901, 819.257, -180, 0, 0
