hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar),No Load Scheduling,t(sec),t(sec)
0,9.14395,-1864.01,-952.974,-1872.52,-1143.95,-1702.85,-1055.93,5439.38,15.32058,6.4116
0,9.18942,-1873.36,-960.348,-1881.97,-1152.31,-1711.39,-1063.88,5466.72,15.36605,7.321
0,9.17162,-1859.7,-948.306,-1867.51,-1139.84,-1697.69,-1050.94,5424.9,15.34825,6.965
0,9.19009,-1860.04,-947.754,-1867.98,-1140.25,-1697.27,-1050.98,5425.29,15.36672,7.3344
0,9.19046,-1860.35,-947.989,-1867.43,-1140.11,-1697.47,-1050.29,5425.25,15.36709,7.3418
0,9.20107,-1869.32,-955.824,-1875.46,-1147.61,-1706.26,-1057.13,5451.04,15.3777,7.554
0,9.20568,-1870.76,-956.265,-1877.05,-1148.99,-1706.97,-1058.17,5454.78,15.38231,7.6462
0,9.20756,-1864.92,-950.323,-1871.45,-1143.96,-1700.46,-1052.89,5436.83,15.38419,7.6838
0,9.21381,-1859.14,-944.407,-1865.86,-1138.98,-1693.96,-1047.61,5418.96,15.39044,7.8088
0,9.22629,-1863.52,-948.17,-1869.29,-1142.42,-1698.15,-1050.39,5430.96,15.40292,8.0584
0,9.22657,-1872.42,-955.173,-1878.33,-1150.39,-1706.28,-1057.99,5457.03,15.4032,8.064
0,9.22827,-1870.39,-952.577,-1876.49,-1148.71,-1703.55,-1056.02,5450.43,15.4049,8.098
0,9.23131,-1870.7,-952.8,-1875.92,-1148.57,-1703.73,-1055.31,5450.35,15.40794,8.1588
0,9.23231,-1866.88,-948.624,-1872.29,-1145.32,-1699.21,-1051.76,5438.38,15.40894,8.1788
0,9.25129,-1858.2,-940.15,-1863.81,-1137.79,-1689.81,-1043.93,5411.82,15.42792,8.5584
0,9.25168,-1859.47,-940.42,-1865.21,-1139.01,-1690.32,-1044.78,5415,15.42831,8.5662
0,9.25354,-1871.5,-950.143,-1877.35,-1149.72,-1701.55,-1055.1,5450.4,15.43017,8.6034
0,9.25691,-1869.82,-947.864,-1875.87,-1148.35,-1699.18,-1053.45,5444.87,15.43354,8.6708
0,9.25726,-1860.62,-939.737,-1865.84,-1139.84,-1689.9,-1044.41,5416.36,15.43389,8.6778
0,9.25741,-1864.24,-942.063,-1869.56,-1143.13,-1692.73,-1047.31,5426.53,15.43404,8.6808
0,9.25752,-1864.1,-941.125,-1869.61,-1143.12,-1691.89,-1047,5425.6,15.43415,8.683
0,9.26445,-1868.93,-945.311,-1873.53,-1146.97,-1696.55,-1050.23,5439.01,15.44108,8.8216
0,9.26592,-1869.76,-945.224,-1874.52,-1147.82,-1696.66,-1050.75,5440.94,15.44255,8.851
0,9.26691,-1864.27,-939.6,-1869.27,-1143.1,-1690.5,-1045.79,5424.04,15.44354,8.8708
0,9.26872,-1859.87,-934.903,-1865.05,-1139.34,-1685.38,-1041.72,5410.3,15.44535,8.907
0,9.28318,-1864.86,-939.204,-1869.09,-1143.31,-1690.18,-1045.03,5424.13,15.45981,9.1962
0,9.28962,-1855.71,-930.379,-1860.2,-1135.39,-1680.37,-1036.88,5396.28,15.46625,9.325
0,9.29041,-1856.9,-930.579,-1861.51,-1136.54,-1680.8,-1037.66,5399.21,15.46704,9.3408
0,23.82432,-1841.4,-917.004,-1845.24,-1122.55,-1665.28,-1023.21,5351.92,30.00095,300.019
0,23.83285,-1853.25,-935.593,-1855.29,-1131.8,-1684.32,-1035.57,5392.86,30.00948,300.1896
0,23.84764,-1844.93,-929.126,-1864.74,-1132.63,-1678.56,-1048.14,5388.23,30.02427,300.4854
0,23.85003,-1852.36,-936.474,-1889.99,-1147.42,-1688.44,-1074.64,5430.79,30.02666,300.5332
0,23.86216,-1859.93,-959.933,-1894.36,-1151.89,-1710.86,-1085.83,5465.15,30.03879,300.7758
0,23.86278,-1852.16,-969.959,-1883.35,-1142.78,-1718.04,-1083.46,5453.55,30.03941,300.7882
0,23.87208,-1853.39,-988.103,-1881.26,-1141.64,-1734.33,-1089.09,5468.98,30.04871,300.9742
0,23.88212,-1858.6,-1009.97,-1883.26,-1144.08,-1754.76,-1098.45,5496.62,30.05875,301.175
0,23.88539,-1867.9,-1019.09,-1910.64,-1160.71,-1766.57,-1126.98,5545.11,30.06202,301.2404
0,23.88911,-1869.68,-1038.23,-1909.39,-1160.16,-1783.89,-1133.65,5562.96,30.06574,301.3148
0,23.93688,-1868.08,-1054.49,-1904.7,-1156.63,-1797.9,-1137.32,5570.68,30.11351,302.2702
0,23.93756,-1878.02,-1072.4,-1913.13,-1164.5,-1815.77,-1148.89,5606.92,30.11419,302.2838
0,23.94276,-1875.82,-1079.35,-1909.4,-1161.49,-1821.44,-1149.54,5606.66,30.11939,302.3878
0,23.94878,-1871.08,-1083.83,-1903.29,-1156.29,-1824.41,-1147.99,5598.78,30.12541,302.5082
0,23.95671,-1879.33,-1099.68,-1910.04,-1162.72,-1840.06,-1157.82,5629.43,30.13334,302.6668
0,23.96295,-1878.47,-1107.22,-1907.91,-1161.05,-1846.55,-1159.65,5632.93,30.13958,302.7916
0,23.96464,-1881.54,-1129.46,-1904.22,-1158.22,-1867.96,-1163.49,5653.72,30.14127,302.8254
0,23.9702,-1884.93,-1140.92,-1906.37,-1160.41,-1878.76,-1169.24,5670.06,30.14683,302.9366
0,23.97216,-1885.63,-1149.99,-1905.79,-1160.18,-1886.87,-1172.55,5678.29,30.14879,302.9758
0,23.97225,-1891,-1155.43,-1920.39,-1169.21,-1893.74,-1187.77,5705.13,30.14888,302.9776
0,23.9754,-1882.57,-1156.48,-1910.64,-1160.74,-1892.9,-1182.91,5686.11,30.15203,303.0406
0,23.97973,-1888.66,-1170.24,-1915.52,-1165.41,-1906.26,-1191.08,5710.44,30.15636,303.1272
0,23.98271,-1885.17,-1167.91,-1921.21,-1166.49,-1904.4,-1198.4,5710.78,30.15934,303.1868
0,23.99417,-1896.74,-1186.53,-1931.73,-1176.18,-1923.19,-1211.64,5751.66,30.1708,303.416
0,23.99931,-1887.13,-1178.83,-1931.29,-1171.69,-1915.38,-1213.49,5733.8,30.17594,303.5188
0,24.01078,-1890.56,-1182.62,-1944.07,-1179.11,-1920.33,-1227.2,5754.96,30.18741,303.7482
0,24.01121,-1900.47,-1216.51,-1950.7,-1185.78,-1952.18,-1244.62,5803.35,30.18784,303.7568
0,24.01209,-1897.66,-1234.3,-1941.32,-1177.66,-1968.52,-1243.75,5807.5,30.18872,303.7744
0,24.01543,-1896.24,-1241.39,-1938.9,-1175.64,-1974.5,-1245.41,5809.64,30.19206,303.8412
0,24.01547,-1905.13,-1250.73,-1981.83,-1194.88,-1991.81,-1289.18,5878.77,30.1921,303.842
0,24.01613,-1897.99,-1246.07,-1993.55,-1197.22,-1988.02,-1304.36,5879.56,30.19276,303.8552
0,24.01686,-1898.73,-1263.53,-1992.26,-1196.41,-2003.59,-1310.91,5894.58,30.19349,303.8698
0,24.01738,-1906.48,-1278.72,-1999.14,-1202.82,-2018.49,-1320.96,5924.11,30.19401,303.8802
0,24.01756,-1909.14,-1289.35,-2000.84,-1204.58,-2028.36,-1326.31,5938.34,30.19419,303.8838
0,24.01878,-1911.89,-1299.3,-2002.03,-1206.52,-2037.28,-1330.9,5951.2,30.19541,303.9082
0,24.02961,-1899.28,-1297.16,-1988.78,-1194.08,-2033.27,-1323.05,5921.33,30.20624,304.1248
0,24.03038,-1914.73,-1331.84,-1998.26,-1202.82,-2068.21,-1339.57,5981.2,30.20701,304.1402
0,24.03474,-1904.75,-1325.74,-2017.02,-1207.18,-2063.52,-1363.6,5985.29,30.21137,304.2274
0,24.0354,-1912.34,-1347.37,-2021.32,-1213.07,-2083.1,-1374.5,6016.76,30.21203,304.2406
0,24.0381,-1921.63,-1370.03,-2027.24,-1220.66,-2103.76,-1386.7,6052.63,30.21473,304.2946
0,24.03884,-1922.42,-1378.42,-2026.77,-1220.87,-2111.01,-1389.9,6060.2,30.21547,304.3094
0,24.04862,-1918.06,-1390.69,-2020.2,-1215.6,-2120.74,-1391.47,6059,30.22525,304.505
0,24.05246,-1921.85,-1447.48,-2015.34,-1215.61,-2169.4,-1412.35,6106.59,30.22909,304.5818
0,24.05258,-1930.47,-1506.75,-2015.56,-1220.83,-2220.64,-1437.29,6166.67,30.22921,304.5842
0,24.05389,-1925.49,-1506.46,-2047.04,-1227.28,-2228.02,-1471.94,6200.55,30.23052,304.6104
0,24.05396,-1924.83,-1506.04,-2055.22,-1231.26,-2227.97,-1481.37,6208.02,30.23059,304.6118
0,24.05586,-1928.36,-1516.13,-2057.53,-1234.23,-2237.06,-1486.83,6222.95,30.23249,304.6498
0,24.05728,-1934.17,-1535.19,-2060.81,-1239.06,-2253.94,-1496.6,6248.92,30.23391,304.6782
0,24.0614,-1933.05,-1534.48,-2077.53,-1247.33,-2253.94,-1515.82,6264.52,30.23803,304.7606
0,24.06229,-1935.17,-1539.77,-2151.18,-1279.93,-2268.13,-1596.7,6354.48,30.23892,304.7784
0,24.06263,-1932.96,-1538.28,-2156.98,-1282.07,-2266.77,-1603.97,6356.71,30.23926,304.7852
0,24.06462,-1927.03,-1541.1,-2151.06,-1276.18,-2268.4,-1602.43,6346.49,30.24125,304.825
0,24.06575,-1938.63,-1564.69,-2159.58,-1286.44,-2290,-1616.68,6388.21,30.24238,304.8476
0,24.0661,-1928.68,-1572.02,-2149.26,-1276.39,-2294.93,-1615,6372.87,30.24273,304.8546
0,24.06654,-1934.13,-1590.76,-2152.55,-1281,-2311.54,-1624.79,6398.22,30.24317,304.8634
0,24.0701,-1935.28,-1613.32,-2151.38,-1281.32,-2330.8,-1634.21,6417.46,30.24673,304.9346
0,24.07024,-1936.12,-1628.28,-2150.7,-1281.64,-2343.55,-1640.52,6430.37,30.24687,304.9374
0,24.07842,-1940.72,-1645.89,-2153.37,-1285.62,-2359,-1649.64,6453.09,30.25505,305.101
0,24.09458,-1942.95,-1668.6,-2153.34,-1287.2,-2378.41,-1659.8,6474.7,30.27121,305.4242
0,24.10439,-1937.92,-1678.69,-2147.32,-1281.85,-2386.25,-1661.31,6471.49,30.28102,305.6204
0,24.11642,-1936.78,-1691.48,-2144.9,-1280.4,-2396.82,-1665.87,6478.5,30.29305,305.861
0,24.11682,-1946.37,-1705.47,-2153.04,-1289.67,-2409.78,-1676.23,6509.19,30.29345,305.869
0,24.12442,-1940.77,-1714.67,-2146.67,-1283.96,-2416.71,-1677.3,6504.15,30.30105,306.021
0,24.12472,-1950.78,-1728.76,-2155.19,-1293.65,-2429.79,-1687.9,6535.76,30.30135,306.027
0,24.13038,-1948.74,-1727.58,-2161.76,-1296.15,-2428.86,-1696.01,6539.36,30.30701,306.1402
0,24.13841,-1939.93,-1721.76,-2169.76,-1296.07,-2423.46,-1707.62,6533.15,30.31504,306.3008
0,24.14395,-1945.37,-1739.11,-2173.58,-1301.21,-2438.67,-1717.45,6557.62,30.32058,306.4116
0,24.14506,-1949.24,-1742.64,-2192.78,-1313.36,-2442.72,-1738.57,6584.74,30.32169,306.4338
0,24.14567,-1946.75,-1747.38,-2190.18,-1310.93,-2446.39,-1739.62,6583.32,30.3223,306.446
0,24.14632,-1950.54,-1750.93,-2209.13,-1322.97,-2450.4,-1760.54,6610.07,30.32295,306.459
0,24.14843,-1945.33,-1766.87,-2203.25,-1317.76,-2463.19,-1765.32,6611.77,30.32506,306.5012
0,24.1521,-1953.3,-1773.11,-2217.87,-1329.65,-2469.58,-1780.14,6640.75,30.32873,306.5746
0,24.1685,-1953.95,-1786.69,-2217.63,-1330.26,-2481.02,-1786.46,6652.6,30.34513,306.9026
0,24.16908,-1956.63,-1795.33,-2219.57,-1332.88,-2488.54,-1791.44,6664.74,30.34571,306.9142
0,24.17529,-1952.55,-1805.22,-2215.23,-1328.94,-2496.31,-1794.18,6664.09,30.35192,307.0384
0,24.18448,-1950.65,-1804.32,-2221.24,-1331.22,-2495.61,-1801.72,6667.5,30.36111,307.2222
0,24.19416,-1948.55,-1803.19,-2227.05,-1333.32,-2494.66,-1809.05,6670.26,30.37079,307.4158
0,24.20698,-1963.71,-1819.94,-2237.67,-1346.74,-2510.44,-1820.21,6711.82,30.38361,307.6722
0,24.20905,-1964.31,-1833.2,-2237.43,-1347.37,-2521.56,-1826.41,6723.3,30.38568,307.7136
0,24.20908,-1963,-1844.92,-2235.55,-1346.17,-2531.17,-1831.17,6729.72,30.38571,307.7142
0,24.21076,-1961.95,-1856.75,-2233.9,-1345.2,-2540.91,-1836.08,6736.76,30.38739,307.7478
0,24.21388,-1956.11,-1864.97,-2228.11,-1339.57,-2547.09,-1837.4,6731.31,30.39051,307.8102
0,24.21799,-1953.91,-1864.36,-2241.44,-1345.63,-2546.86,-1853.58,6742.21,30.39462,307.8924
0,24.22059,-1957.25,-1885.5,-2243.44,-1349.11,-2564.83,-1864.71,6765.52,30.39722,307.9444
0,24.22268,-1962.46,-1889.74,-2256.01,-1358.45,-2569.3,-1877.87,6787.77,30.39931,307.9862
0,24.22422,-1961.25,-1889.4,-2262.5,-1361.34,-2569.14,-1885.81,6792.89,30.40085,308.017
0,24.22483,-1958.77,-1899.85,-2261.06,-1359.47,-2577.85,-1890.99,6797.68,30.40146,308.0292
0,24.22624,-1960.68,-1919.33,-2264.29,-1362.29,-2594.85,-1903.28,6819.82,30.40287,308.0574
0,24.22758,-1955.62,-1939.41,-2261.07,-1358.34,-2611.53,-1912.92,6828.22,30.40421,308.0842
0,24.23005,-1950.58,-1947.73,-2257.05,-1353.91,-2618.04,-1915.74,6825.67,30.40668,308.1336
0,24.23451,-1957.44,-1958.83,-2264.37,-1361.29,-2628.35,-1925.37,6850.16,30.41114,308.2228
0,24.21099,-1958.23,-1959.96,-2272.87,-1366.21,-2629.71,-1935.08,6860.81,30.38762,307.7524
0,24.23739,-1953.22,-1962.17,-2268.5,-1361.53,-2630.99,-1934.38,6852.71,30.41402,308.2804
0,24.23657,-1955,-1969.61,-2270.77,-1363.73,-2637.56,-1939.63,6863.33,30.4132,308.264
0,24.2441,-1951.45,-1973.11,-2267.84,-1360.54,-2640.11,-1940.32,6859.4,30.42073,308.4146
0,24.2451,-1955.27,-1987.37,-2272.56,-1365.11,-2652.78,-1950.5,6880.61,30.42173,308.4346
0,24.2463,-1946.92,-1993.49,-2265.44,-1357.44,-2656.98,-1950.77,6869.34,30.42293,308.4586
0,24.24631,-1955.52,-2005.25,-2274.44,-1366.59,-2668.05,-1961.58,6898.01,30.42294,308.4588
0,24.24917,-1946.12,-1999.86,-2280.58,-1365.15,-2662.99,-1971.62,6889.69,30.4258,308.516
0,24.25023,-1943.24,-2014.7,-2279.24,-1363.24,-2675.38,-1979.4,6897.86,30.42686,308.5372
0,24.25075,-1952.24,-2026.79,-2288.7,-1372.9,-2686.72,-1990.67,6927.66,30.42738,308.5476
0,24.25348,-1943.42,-2023.16,-2310.6,-1380.15,-2683.82,-2019.08,6937.84,30.43011,308.6022
0,24.25352,-1947.23,-2031.43,-2314.86,-1384.42,-2691.32,-2025.74,6953.41,30.43015,308.603
0,24.25871,-1948.62,-2038.1,-2316.83,-1386.29,-2697.16,-2030.51,6962.61,30.43534,308.7068
0,24.26027,-1943.38,-2035.8,-2326.49,-1388.91,-2695.09,-2043.56,6964.96,30.4369,308.738
0,24.26367,-1948.48,-2061.35,-2333.68,-1395.65,-2717.54,-2061.5,6999.7,30.4403,308.806
0,24.26412,-1949.87,-2073.6,-2336.27,-1397.99,-2728.11,-2069.83,7014.25,30.44075,308.815
0,24.27181,-1941.54,-2079,-2329.31,-1390.28,-2731.82,-2069.85,7002.67,30.44844,308.9688
0,24.27199,-1942.47,-2085.24,-2330.84,-1391.7,-2737.23,-2074.19,7010.54,30.44862,308.9724
0,24.27207,-1941.58,-2090.15,-2330.59,-1391.24,-2741.31,-2076.97,7013.48,30.4487,308.974
