hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 0.10701, 546, 180, 0, 0
0, 0.10801, 546, -180, 0, 0
0, 0.10801, 546, -180, 0, 0
0, 0.10901, 546, 180, 0, 0
0, 0.10901, 546, 180, 0, 0
0, 0.11001, 546, -180, 0, 0
0, 0.11001, 546, -180, 0, 0
0, 0.11101, 546, 180, 0, 0
0, 0.11101, 546, 180, 0, 0
0, 0.11201, 546.004, 179.999, 0, 0
0, 0.11201, 546.004, 179.999, 0, 0
0, 0.11301, 545.999, -180, 0, 0
0, 0.11301, 545.999, -180, 0, 0
0, 0.11401, 546, 180, 0, 0
0, 0.11401, 546, 180, 0, 0
0, 0.11501, 546, 180, 0, 0
0, 0.11501, 546, 180, 0, 0
0, 0.11601, 546, -180, 0, 0
0, 0.11601, 546, -180, 0, 0
0, 0.11701, 546, 180, 0, 0
0, 0.11701, 546, 180, 0, 0
0, 0.11801, 546, -180, 0, 0
0, 0.11801, 546, -180, 0, 0
0, 0.11901, 546, 180, 0, 0
0, 0.11901, 546, 180, 0, 0
0, 0.12000, 546.005, 179.999, 0, 0
0, 0.12000, 546.005, 179.999, 0, 0
0, 0.12001, 545.999, -180, 0, 0
0, 0.12001, 545.999, -180, 0, 0
0, 0.12101, 546, 180, 0, 0
0, 0.12101, 546, 180, 0, 0
0, 0.12201, 546, 180, 0, 0
0, 0.12201, 546, 180, 0, 0
0, 0.12301, 546, -180, 0, 0
0, 0.12301, 546, -180, 0, 0
0, 0.12401, 546, 180, 0, 0
0, 0.12401, 546, 180, 0, 0
0, 0.12501, 546, -180, 0, 0
0, 0.12501, 546, -180, 0, 0
0, 0.12601, 546, 180, 0, 0
0, 0.12601, 546, 180, 0, 0
0, 0.12701, 546, -180, 0, 0
0, 0.12701, 546, -180, 0, 0
0, 0.12801, 546.006, 179.999, 0, 0
0, 0.12801, 546.006, 179.999, 0, 0
0, 0.12901, 545.999, -180, 0, 0
0, 0.12901, 545.999, -180, 0, 0
0, 0.13001, 546, 180, 0, 0
0, 0.13001, 546, 180, 0, 0
0, 0.13101, 546, 180, 0, 0
0, 0.13101, 546, 180, 0, 0
0, 0.13201, 546, -180, 0, 0
0, 0.13201, 546, -180, 0, 0
0, 0.13301, 546, 180, 0, 0
0, 0.13301, 546, 180, 0, 0
0, 0.13401, 546, -180, 0, 0
0, 0.13401, 546, -180, 0, 0
0, 0.13501, 546, 180, 0, 0
0, 0.13501, 546, 180, 0, 0
0, 0.13601, 546.007, 179.999, 0, 0
0, 0.13601, 546.007, 179.999, 0, 0
0, 0.13701, 545.999, -180, 0, 0
0, 0.13701, 545.999, -180, 0, 0
0, 0.13801, 546, 180, 0, 0
0, 0.13801, 546, 180, 0, 0
0, 0.13901, 546, 180, 0, 0
0, 0.13901, 546, 180, 0, 0
0, 0.14001, 546, -180, 0, 0
0, 0.14001, 546, -180, 0, 0
0, 0.14101, 546, 180, 0, 0
0, 0.14101, 546, 180, 0, 0
0, 0.14201, 546, -180, 0, 0
0, 0.14201, 546, -180, 0, 0
0, 0.14301, 546, 180, 0, 0
0, 0.14301, 546, 180, 0, 0
0, 0.14401, 546.007, 179.999, 0, 0
0, 0.14401, 546.007, 179.999, 0, 0
0, 0.14501, 545.999, -180, 0, 0
0, 0.14501, 545.999, -180, 0, 0
0, 0.14601, 546, 180, 0, 0
0, 0.14601, 546, 180, 0, 0
0, 0.14701, 546, 180, 0, 0
0, 0.14701, 546, 180, 0, 0
0, 0.14801, 546, -180, 0, 0
0, 0.14801, 546, -180, 0, 0
0, 0.14901, 546, 180, 0, 0
0, 0.14901, 546, 180, 0, 0
0, 0.15001, 546, -180, 0, 0
0, 0.15001, 546, -180, 0, 0
0, 0.15101, 546, 180, 0, 0
0, 0.15101, 546, 180, 0, 0
0, 0.15201, 546.008, 179.999, 0, 0
